GeneSymbol,Ensemble,Gene description,0H_sorted.bam,1H_sorted.bam,2H_sorted.bam,4H_sorted.bam,8H_sorted.bam,12H_sorted.bam,24H_sorted.bam
EIF2S3,ENSG00000130741,eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267],84.475174,87.01083,98.13583,85.35343,94.14707,93.81399,94.00722
ACE2,ENSG00000130234,angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557],0.6566787,0.710551,0.6413848,0.4867642,0.50188,0.24569675,0.4821205
LRCH2,ENSG00000130224,leucine rich repeats and calponin homology domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29292],9.426552,9.654905,9.712107,9.481678,10.351185,11.1467085,10.075853
MOSPD2,ENSG00000130150,motile sperm domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28381],16.214447,24.74443,17.922337,29.804966,31.793617,37.309303,46.34926
GNL3L,ENSG00000130119,G protein nucleolar 3 like [Source:HGNC Symbol;Acc:HGNC:25553],20.928288,25.970816,21.234877,26.358326,28.088018,29.049677,31.164719
SAT1,ENSG00000130066,spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540],457.7603,603.4032,563.73975,512.9782,573.1365,531.7313,492.15448
GDPD2,ENSG00000130055,glycerophosphodiester phosphodiesterase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25974],25.675676,40.34744,26.78815,33.163143,32.337852,29.37498,27.91319
FAM155B,ENSG00000130054,family with sequence similarity 155 member B [Source:HGNC Symbol;Acc:HGNC:30701],6.197741,3.873534,3.546073,4.1999187,3.9173396,4.167825,2.6512823
STARD8,ENSG00000130052,StAR related lipid transfer domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19161],6.4085345,6.769782,4.770761,5.973478,5.170435,8.140889,5.712646
PRRG3,ENSG00000130032,proline rich and Gla domain 3 [Source:HGNC Symbol;Acc:HGNC:30798],41.625988,31.115665,31.653393,25.559269,29.195965,20.17365,5.899078
PUDP,ENSG00000130021,pseudouridine 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:16818],2.5586526,3.37308,3.5799277,3.0465162,3.3258934,3.345443,3.6060648
FGF13,ENSG00000129682,fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670],1.8583968,1.5837026,1.9020846,1.2324715,1.2856054,1.050826,0.44106784
MAP7D3,ENSG00000129680,MAP7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25742],4.669117,5.324392,6.9663424,6.322305,8.304948,8.406131,9.99942
ARHGEF6,ENSG00000129675,Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685],15.651813,17.96702,17.34784,18.57851,20.134954,20.267872,20.413422
ZC4H2,ENSG00000126970,zinc finger C4H2-type containing [Source:HGNC Symbol;Acc:HGNC:24931],3.1704118,3.902628,3.2631948,3.160443,3.4196444,3.4831202,3.6380258
TIMM8A,ENSG00000126953,translocase of inner mitochondrial membrane 8A [Source:HGNC Symbol;Acc:HGNC:11817],19.411194,26.537294,29.251202,20.144012,25.525614,21.651957,15.466869
NXF5,ENSG00000126952,nuclear RNA export factor 5 [Source:HGNC Symbol;Acc:HGNC:8075],2.3168147,2.9121652,1.8738425,3.6238842,1.6682807,3.0743353,3.6630833
TMEM35A,ENSG00000126950,transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864],31.619875,21.844732,32.52696,15.448925,22.76516,17.328724,6.600666
ARMCX1,ENSG00000126947,armadillo repeat containing X-linked 1 [Source:HGNC Symbol;Acc:HGNC:18073],143.64508,123.68283,165.32803,113.587494,138.55836,120.21945,74.94045
HNRNPH2,ENSG00000126945,heterogeneous nuclear ribonucleoprotein H2 [Source:HGNC Symbol;Acc:HGNC:5042],432.51016,404.07468,494.49142,406.9863,460.32336,429.1072,408.47287
SLC10A3,ENSG00000126903,solute carrier family 10 member 3 [Source:HGNC Symbol;Acc:HGNC:22979],66.46972,78.34046,69.00245,65.69439,76.02195,76.84734,81.64079
TIMM17B,ENSG00000126768,translocase of inner mitochondrial membrane 17B [Source:HGNC Symbol;Acc:HGNC:17310],53.01256,54.54401,51.064964,57.759872,64.09039,70.70587,63.55313
ELK1,ENSG00000126767,ETS transcription factor ELK1 [Source:HGNC Symbol;Acc:HGNC:3321],82.67038,76.35547,101.56721,60.96014,64.2972,60.191154,24.659924
CFP,ENSG00000126759,complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864],10.9335575,14.805652,12.497854,7.9486623,5.955206,12.744409,5.557294
UXT,ENSG00000126756,ubiquitously expressed prefoldin like chaperone [Source:HGNC Symbol;Acc:HGNC:12641],49.695328,51.73223,50.33284,59.47077,58.349842,66.002,73.73674
DACH2,ENSG00000126733,dachshund family transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16814],0.55835384,0.4385208,0.67363155,0.4420506,0.40807107,0.47250497,0.16532381
AMOT,ENSG00000126016,angiomotin [Source:HGNC Symbol;Acc:HGNC:17810],49.507637,51.444138,57.81471,45.82452,45.414017,42.521675,35.941795
KDM5C,ENSG00000126012,lysine demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114],137.58723,138.94936,116.5478,134.75427,129.84846,152.29974,140.9779
GRPR,ENSG00000126010,gastrin releasing peptide receptor [Source:HGNC Symbol;Acc:HGNC:4609],6.006923,4.537938,5.1993475,2.7923348,2.6776512,2.4427216,1.3059012
ARMCX5,ENSG00000125962,armadillo repeat containing X-linked 5 [Source:HGNC Symbol;Acc:HGNC:25772],69.91186,60.999672,55.845554,53.45565,65.652466,60.70954,52.556385
CITED1,ENSG00000125931,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1 [Source:HGNC Symbol;Acc:HGNC:1986],30.63063,19.841106,34.618534,23.038904,10.498085,15.244112,3.3615885
THOC2,ENSG00000125676,THO complex 2 [Source:HGNC Symbol;Acc:HGNC:19073],28.114056,32.67601,29.91193,31.888771,34.245094,35.558445,39.849346
GRIA3,ENSG00000125675,glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573],15.859149,15.113291,14.102511,12.334341,13.085582,13.176589,8.244686
NDUFA1,ENSG00000125356,NADH:ubiquinone oxidoreductase subunit A1 [Source:HGNC Symbol;Acc:HGNC:7683],188.1598,183.28291,220.68909,201.15524,215.07927,211.72311,191.16382
TMEM255A,ENSG00000125355,transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086],5.3112063,5.989199,6.242418,6.1575994,8.098851,5.5133953,8.000388
RNF113A,ENSG00000125352,ring finger protein 113A [Source:HGNC Symbol;Acc:HGNC:12974],204.73022,187.691,219.0405,177.50595,155.20659,172.661,182.70718
UPF3B,ENSG00000125351,UPF3B regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:20439],9.960577,10.131929,9.795894,11.378046,8.908832,12.286528,12.396995
USP9X,ENSG00000124486,ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632],72.17388,72.76413,76.58342,71.37616,79.93754,81.89737,76.99092
NDP,ENSG00000124479,norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678],13.769293,16.293446,18.923265,15.671061,16.220703,18.259222,18.80269
IQSEC2,ENSG00000124313,IQ motif and Sec7 domain ArfGEF 2 [Source:HGNC Symbol;Acc:HGNC:29059],43.465973,37.536316,33.391502,29.961086,26.685366,27.800436,9.790029
RAP2C,ENSG00000123728,"RAP2C, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21165]",12.031355,13.997033,19.458069,15.674521,17.84952,16.72731,18.280437
RAB9A,ENSG00000123595,"RAB9A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9792]",16.32214,19.706783,19.968287,22.360273,27.078955,27.166258,37.30142
FAM199X,ENSG00000123575,"family with sequence similarity 199, X-linked [Source:HGNC Symbol;Acc:HGNC:25195]",45.432938,44.984333,51.16891,39.113926,48.59486,44.421658,40.425743
RAB9B,ENSG00000123570,"RAB9B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14090]",30.208439,24.326424,29.715641,19.481089,25.66777,22.887577,10.215128
MORF4L2,ENSG00000123562,mortality factor 4 like 2 [Source:HGNC Symbol;Acc:HGNC:16849],255.7056,233.55118,310.0998,216.52768,269.55075,254.18712,205.80621
PLP1,ENSG00000123560,proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086],214.42175,409.4663,253.187,476.64502,518.81396,571.98914,674.2023
IL13RA2,ENSG00000123496,interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975],7.1236644,4.9150667,6.7485003,5.210949,7.6609354,5.523533,1.4572905
PRDX4,ENSG00000123131,peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169],11.655222,12.28426,15.543959,14.466062,17.657066,19.053186,20.227846
ACOT9,ENSG00000123130,acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152],7.9026613,7.900843,8.369115,7.3761463,7.4031672,7.1996593,4.901546
NUDT10,ENSG00000122824,nudix hydrolase 10 [Source:HGNC Symbol;Acc:HGNC:17621],74.78754,64.7242,83.48086,56.696304,68.543625,54.135254,24.884563
OCRL,ENSG00000122126,OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108],45.150154,40.245476,48.693768,37.144848,41.56438,41.826046,28.248196
SASH3,ENSG00000122122,SAM and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15975],1.4423392,6.5564313,4.4457874,7.2895665,7.1622434,6.7057915,8.791442
PDZD11,ENSG00000120509,PDZ domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28034],71.17347,67.36194,101.23047,67.50685,74.936104,67.64777,62.76448
TEX11,ENSG00000120498,testis expressed 11 [Source:HGNC Symbol;Acc:HGNC:11733],0.013165101,0.047337677,0.039677624,0.06733471,0.03196068,0,0.012280944
CXorf21,ENSG00000120280,TLR adaptor interacting with endolysosomal SLC15A4 [Source:HGNC Symbol;Acc:HGNC:25667],1.2091899,1.1224139,0.92428285,1.2860157,0.76579005,1.1949768,1.5938871
BEX4,ENSG00000102409,brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475],446.0028,393.46292,504.8913,411.69098,448.8772,461.0633,328.1733
ARMCX3,ENSG00000102401,armadillo repeat containing X-linked 3 [Source:HGNC Symbol;Acc:HGNC:24065],211.21458,192.58195,229.40762,163.90666,202.02626,184.14706,160.80276
GLA,ENSG00000102393,galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296],17.335945,17.718744,20.294035,13.503704,16.525358,19.664898,18.501495
PBDC1,ENSG00000102390,polysaccharide biosynthesis domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28790],58.455116,53.10115,62.919598,49.590286,58.74539,50.3282,48.24428
TAF7L,ENSG00000102387,TATA-box binding protein associated factor 7 like [Source:HGNC Symbol;Acc:HGNC:11548],2.0560372,2.3555748,2.0250278,1.2550926,0.8319008,1.2726854,0.14102612
DRP2,ENSG00000102385,dystrophin related protein 2 [Source:HGNC Symbol;Acc:HGNC:3032],55.33323,50.845684,44.274403,34.726753,31.425428,33.990505,10.062727
CENPI,ENSG00000102384,centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968],2.8259807,2.9694524,2.6088347,2.887376,2.6329806,3.2791908,4.0077214
ZDHHC15,ENSG00000102383,zinc finger DHHC-type palmitoyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:20342],2.2569578,2.31142,3.0447628,1.7853022,2.0977418,2.0357091,1.345941
SYTL4,ENSG00000102362,synaptotagmin like 4 [Source:HGNC Symbol;Acc:HGNC:15588],3.4702342,6.12197,3.878457,7.8134127,6.234223,7.537156,8.012011
SRPX2,ENSG00000102359,sushi repeat containing protein X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30668],1.3293663,0.88913596,0.79494226,0.879817,0.7683998,0.6394928,0.8119618
KLF8,ENSG00000102349,Kruppel like factor 8 [Source:HGNC Symbol;Acc:HGNC:6351],5.711775,5.0509005,3.7773273,4.734912,3.856329,3.6062963,2.3448708
RBM3,ENSG00000102317,RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900],152.0703,183.92854,193.20982,182.16641,205.9227,206.88626,214.83543
MAGED2,ENSG00000102316,MAGE family member D2 [Source:HGNC Symbol;Acc:HGNC:16353],227.75336,229.75043,270.34048,215.98192,244.7295,248.44102,212.79012
PORCN,ENSG00000102312,porcupine O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:17652],72.386734,66.26462,62.401817,56.939987,63.697727,56.463512,44.367588
PIN4,ENSG00000102309,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]",2.5169857,2.6341283,1.9935485,2.8900366,2.675814,3.0017703,3.155533
FGD1,ENSG00000102302,"FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]",19.830252,18.80834,15.0353155,14.429163,12.310277,13.8507805,6.039098
PCDH11X,ENSG00000102290,protocadherin 11 X-linked [Source:HGNC Symbol;Acc:HGNC:8656],5.009657,3.9595582,4.6810355,2.9655514,3.3655083,3.1091297,1.2213576
GABRE,ENSG00000102287,gamma-aminobutyric acid type A receptor subunit epsilon [Source:HGNC Symbol;Acc:HGNC:4085],9.045786,2.7626147,4.1359973,7.427303,7.094864,8.903804,3.8404984
KLHL4,ENSG00000102271,kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355],6.8264303,9.812708,7.5358396,13.271845,13.184762,14.915643,20.90828
TIMP1,ENSG00000102265,TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820],30.351439,37.438053,44.132504,32.478394,47.368057,46.68345,46.03533
HTATSF1,ENSG00000102241,HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:HGNC:5276],129.74849,132.47171,143.7704,141.78842,143.58115,136.46526,143.65614
PCYT1B,ENSG00000102230,"phosphate cytidylyltransferase 1, choline, beta [Source:HGNC Symbol;Acc:HGNC:8755]",7.4700456,7.589676,6.980703,9.41192,9.406418,9.465922,11.12211
USP11,ENSG00000102226,ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:HGNC:12609],437.68784,420.60703,481.94473,399.6332,418.27417,425.84488,307.71103
CDK16,ENSG00000102225,cyclin dependent kinase 16 [Source:HGNC Symbol;Acc:HGNC:8749],257.95023,243.5603,264.85187,238.25948,238.90808,217.95016,180.22011
JADE3,ENSG00000102221,jade family PHD finger 3 [Source:HGNC Symbol;Acc:HGNC:22982],1.5708177,2.6702135,1.5258039,3.381155,3.0474975,3.67044,5.291444
RP2,ENSG00000102218,RP2 activator of ARL3 GTPase [Source:HGNC Symbol;Acc:HGNC:10274],3.2880218,4.7856236,5.043477,4.3428884,5.5179462,4.2355742,6.1755724
CD99L2,ENSG00000102181,CD99 molecule like 2 [Source:HGNC Symbol;Acc:HGNC:18237],11.322378,11.272083,10.474153,11.263046,10.701658,11.3712225,10.720407
UBL4A,ENSG00000102178,ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505],222.14557,182.55994,263.36957,156.1001,195.5377,185.55885,134.34323
PHEX,ENSG00000102174,phosphate regulating endopeptidase homolog X-linked [Source:HGNC Symbol;Acc:HGNC:8918],0.41098517,0.7183639,0.4071479,0.53312606,0.54321474,0.311385,0.24493963
SMS,ENSG00000102172,spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123],22.5018,19.243431,24.66116,18.733624,21.79707,19.71274,10.017065
MAGT1,ENSG00000102158,magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28880],8.738986,12.026982,11.2281065,12.784264,16.323647,17.455725,20.39705
PGK1,ENSG00000102144,phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896],15.099036,15.634518,16.191477,15.07384,17.200392,17.055794,16.03769
RAB40AL,ENSG00000102128,RAB40A like [Source:HGNC Symbol;Acc:HGNC:25410],192.41983,191.0977,124.47869,131.82611,95.55017,125.171394,94.05465
TAZ,ENSG00000102125,tafazzin [Source:HGNC Symbol;Acc:HGNC:11577],43.908653,56.496593,31.508106,61.571186,47.944523,69.18377,78.2853
EMD,ENSG00000102119,emerin [Source:HGNC Symbol;Acc:HGNC:3331],362.269,361.1919,386.39087,379.86362,401.13614,416.75916,375.8222
PCSK1N,ENSG00000102109,proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301],174.97232,160.02432,243.08821,122.14646,144.37047,105.99899,52.943623
PQBP1,ENSG00000102103,polyglutamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9330],67.42875,62.748295,72.84186,69.47624,68.253365,64.37172,66.37674
SLC35A2,ENSG00000102100,solute carrier family 35 member A2 [Source:HGNC Symbol;Acc:HGNC:11022],48.297073,39.293987,39.908863,41.41519,49.499386,50.918842,49.41007
SCML2,ENSG00000102098,Scm polycomb group protein like 2 [Source:HGNC Symbol;Acc:HGNC:10581],2.1581612,2.0938993,1.6652758,2.0430422,1.6622772,2.1670554,2.2537563
PIM2,ENSG00000102096,"Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]",59.558445,49.423103,60.392174,40.341953,44.456955,42.35849,16.364227
FMR1,ENSG00000102081,FMRP translational regulator 1 [Source:HGNC Symbol;Acc:HGNC:3775],68.56413,63.13117,76.291855,66.38625,69.31366,71.7524,64.084435
SLC25A14,ENSG00000102078,solute carrier family 25 member 14 [Source:HGNC Symbol;Acc:HGNC:10984],19.74667,15.27343,21.158346,14.581892,17.76848,16.145685,8.604129
KCND1,ENSG00000102057,potassium voltage-gated channel subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:6237],18.438904,19.32338,12.837243,23.688612,13.684269,19.182058,14.482338
RBBP7,ENSG00000102054,"RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]",60.644997,59.806484,70.54935,57.929634,67.92083,66.64243,65.17181
ASB9,ENSG00000102048,ankyrin repeat and SOCS box containing 9 [Source:HGNC Symbol;Acc:HGNC:17184],0.36952814,0.3832818,0.35695574,0.5372916,0.5520596,0.57430744,0.46403396
MTMR8,ENSG00000102043,myotubularin related protein 8 [Source:HGNC Symbol;Acc:HGNC:16825],0.9185692,1.5085334,1.2422436,1.126089,1.0768775,1.516833,1.794319
SMARCA1,ENSG00000102038,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]",44.55844,45.865532,50.459133,38.193718,48.31718,41.884224,32.588856
ELF4,ENSG00000102034,E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319],0.8289161,2.8432677,1.3696424,3.4925804,3.0449953,3.470706,6.486116
RENBP,ENSG00000102032,renin binding protein [Source:HGNC Symbol;Acc:HGNC:9959],37.583607,52.490494,47.99632,58.668983,62.116085,69.31162,81.830315
NAA10,ENSG00000102030,"N-alpha-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]",145.15027,137.38672,153.11134,152.65532,142.60974,152.66957,145.15901
PLS3,ENSG00000102024,plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091],23.347605,26.710724,26.910965,27.558914,31.534315,32.833298,37.48244
BMX,ENSG00000102010,BMX non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1079],0.119197264,0.18264073,0.35379946,0.33735612,0.27621976,0.15051736,0.46751213
PLP2,ENSG00000102007,proteolipid protein 2 [Source:HGNC Symbol;Acc:HGNC:9087],29.059317,58.909386,40.630077,62.622223,46.18269,55.609795,70.91323
SYP,ENSG00000102003,synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506],303.30765,271.80243,322.512,236.19365,266.9164,246.65152,125.629456
CACNA1F,ENSG00000102001,calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393],4.874775,3.9295557,4.3472214,4.0062,3.0872357,3.300863,2.842118
CCDC22,ENSG00000101997,coiled-coil domain containing 22 [Source:HGNC Symbol;Acc:HGNC:28909],36.475983,39.269302,28.951717,38.41448,31.452929,38.17388,36.180042
ABCD1,ENSG00000101986,ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61],8.341708,8.187432,6.3735075,9.163212,6.8926654,12.69104,11.308937
MCF2,ENSG00000101977,MCF.2 cell line derived transforming sequence [Source:HGNC Symbol;Acc:HGNC:6940],10.71502,7.92595,11.151767,7.086727,8.773274,7.1996145,3.7067842
ATP11C,ENSG00000101974,ATPase phospholipid transporting 11C [Source:HGNC Symbol;Acc:HGNC:13554],2.8410778,4.290736,3.2809453,4.631744,4.823628,5.266036,7.32873
STAG2,ENSG00000101972,stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355],8.653852,10.122422,10.506096,10.920348,12.3496275,12.754475,14.314259
XIAP,ENSG00000101966,X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592],19.186817,18.867023,20.228975,20.86205,20.202347,20.201902,21.491652
GLRA2,ENSG00000101958,glycine receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4327],2.2220576,1.686744,2.7531888,1.5153357,2.5533729,1.908027,0.60457426
SRPX,ENSG00000101955,sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309],1.5784547,1.9619887,1.3506868,3.1373432,2.814645,2.3636262,3.0784569
SUV39H1,ENSG00000101945,suppressor of variegation 3-9 homolog 1 [Source:HGNC Symbol;Acc:HGNC:11479],21.026823,19.118574,20.060228,20.239988,18.849304,22.892717,22.179142
WDR13,ENSG00000101940,WD repeat domain 13 [Source:HGNC Symbol;Acc:HGNC:14352],100.3293,105.21579,110.65025,99.920166,93.09467,93.22468,78.83912
CHRDL1,ENSG00000101938,chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861],9.658587,9.867125,11.325861,6.4270906,7.3349586,7.164646,3.3748977
AMMECR1,ENSG00000101935,AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467],0.9876122,1.0549331,0.5154799,0.72303134,0.66600233,0.56967014,0.76773745
MOSPD1,ENSG00000101928,motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235],6.8051834,6.995894,7.9548182,3.8637605,6.4589386,5.8964686,4.558514
TLR8,ENSG00000101916,toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632],1.0876133,1.4936796,3.186849,1.6795733,1.0268142,2.0600893,2.3250566
PRPS2,ENSG00000101911,phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:9465],17.402945,15.589219,18.95041,10.216229,13.036568,14.022966,9.294918
ALG13,ENSG00000101901,ALG13 UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:30881],29.766235,33.41142,25.290453,38.40731,32.074207,36.78868,41.48353
NXT2,ENSG00000101888,nuclear transport factor 2 like export factor 2 [Source:HGNC Symbol;Acc:HGNC:18151],13.69248,15.511728,18.322126,19.342426,17.301662,15.16444,20.808317
RHOXF1,ENSG00000101883,Rhox homeobox family member 1 [Source:HGNC Symbol;Acc:HGNC:29993],5.0835147,7.1809435,5.654158,4.3603044,1.9393249,3.6681437,2.3710551
NKAP,ENSG00000101882,NFKB activating protein [Source:HGNC Symbol;Acc:HGNC:29873],24.43674,24.245232,24.865124,23.79842,29.609728,30.091732,34.0014
MID1,ENSG00000101871,midline 1 [Source:HGNC Symbol;Acc:HGNC:7095],1.7973709,2.2134845,2.092169,1.6033461,1.8597779,1.7949058,1.2190622
POLA1,ENSG00000101868,"DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]",4.688717,6.403023,5.183552,6.875218,6.3602214,7.7373476,9.033906
PGRMC1,ENSG00000101856,progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090],92.55656,88.28519,109.814995,100.88308,117.368484,117.79807,118.27859
GPR143,ENSG00000101850,G protein-coupled receptor 143 [Source:HGNC Symbol;Acc:HGNC:20145],2.0179813,2.304384,3.0285838,1.8241855,1.4736881,1.6780982,0.6504419
TBL1X,ENSG00000101849,transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585],2.6859362,3.3295803,2.6947181,3.919192,3.3608184,3.873618,4.1983094
STS,ENSG00000101846,steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425],15.344834,12.64324,15.4286585,10.695316,9.8915205,9.916976,4.9276433
ATG4A,ENSG00000101844,autophagy related 4A cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489],3.936258,4.119805,3.9863193,5.3825574,3.833953,4.930458,5.293165
PSMD10,ENSG00000101843,"proteasome 26S subunit, non-ATPase 10 [Source:HGNC Symbol;Acc:HGNC:9555]",59.921013,59.373272,71.14265,60.719448,83.47947,69.646904,77.01685
VSIG1,ENSG00000101842,V-set and immunoglobulin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28675],1.8120707,2.4302332,1.9452237,1.3323683,1.2416904,1.7715156,0.06816022
MXRA5,ENSG00000101825,matrix remodeling associated 5 [Source:HGNC Symbol;Acc:HGNC:7539],4.200798,3.687692,3.923458,3.2695413,1.7846855,3.7463691,2.755319
CSTF2,ENSG00000101811,cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484],34.84981,32.059162,33.204,33.23635,31.741348,37.56237,32.36197
UPRT,ENSG00000094841,uracil phosphoribosyltransferase homolog [Source:HGNC Symbol;Acc:HGNC:28334],4.0471926,3.9801362,4.473478,3.593996,4.275067,4.1582303,3.65132
HDAC6,ENSG00000094631,histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064],88.53681,107.81485,76.5506,118.17761,97.0826,130.79066,130.35706
SMPX,ENSG00000091482,small muscle protein X-linked [Source:HGNC Symbol;Acc:HGNC:11122],1.1506376,0.92659205,1.035538,0.6396841,0.23278187,0.7022724,0
KIF4A,ENSG00000090889,kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339],0.77227163,0.64438105,0.80656284,0.27205434,0.31556547,0.32828265,0.2763936
EFNB1,ENSG00000090776,ephrin B1 [Source:HGNC Symbol;Acc:HGNC:3226],12.024353,10.603741,11.468223,10.915693,11.639572,8.937332,7.986651
ARHGAP4,ENSG00000089820,Rho GTPase activating protein 4 [Source:HGNC Symbol;Acc:HGNC:674],40.96551,46.47838,45.853592,51.262333,43.707592,52.78059,53.169193
RBM41,ENSG00000089682,RNA binding motif protein 41 [Source:HGNC Symbol;Acc:HGNC:25617],9.484596,8.943136,8.101893,10.647898,10.263343,10.723373,11.273855
HEPH,ENSG00000089472,hephaestin [Source:HGNC Symbol;Acc:HGNC:4866],11.427873,13.453965,13.086969,13.668526,12.490168,15.452071,14.4661
IGBP1,ENSG00000089289,immunoglobulin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5461],28.955532,28.1956,33.649666,26.310625,32.710724,32.22381,29.011185
PIR,ENSG00000087842,pirin [Source:HGNC Symbol;Acc:HGNC:30048],4.5418606,5.609698,4.699065,5.949587,6.6625886,7.163286,7.901179
HUWE1,ENSG00000086758,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]",127.41782,132.98586,111.184235,125.595215,122.90462,137.6897,124.44524
PPEF1,ENSG00000086717,protein phosphatase with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:9243],2.6181972,2.4393044,3.8248153,1.8797901,2.6191173,2.1265693,0.7287196
